artist,name,popularity
Coldplay,Higher Power,86
Radiohead,Creep,82
Red Hot Chili Peppers,Californication,81
Rihanna,Umbrella,67
Eminem,The Real Slim Shady,85
The Killers,Mr. Brightside,82
Kanye West,Stronger,81
Nirvana,Smells Like Teen Spirit,77
Muse,Supermassive Black Hole,76
Queen,Another One Bites The Dust - Remastered 2011,75
Foo Fighters,Everlong,78
Linkin Park,In the End,84
Lady Gaga,Shallow,84
The Rolling Stones,"Paint It, Black",79
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,79
Green Day,Basket Case,80
Katy Perry,Electric,79
The Beatles,Here Comes The Sun - Remastered 2009,83
Oasis,Wonderwall - Remastered,79
Gorillaz,Feel Good Inc.,83
Beyoncé,Halo,65
Michael Jackson,Billie Jean,84
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),91
Arctic Monkeys,Do I Wanna Know?,85
System Of A Down,Chop Suey!,80
U2,With Or Without You - Remastered,79
Kings of Leon,Sex on Fire,82
Drake,Wants and Needs (feat. Lil Baby),89
David Bowie,Heroes - 2017 Remaster,75
Black Eyed Peas,GIRL LIKE ME,85
The Strokes,The Adults Are Talking,80
Britney Spears,Gimme More,83
Guns N' Roses,Sweet Child O' Mine,74
Franz Ferdinand,Take Me Out,78
The Doors,Riders on the Storm,74
JAY-Z,Ni**as In Paris,81
Madonna,Hung Up,75
Pink Floyd,Wish You Were Here,76
Weezer,Island In The Sun,78
Snow Patrol,Chasing Cars,78
blink-182,All The Small Things,80
The White Stripes,Seven Nation Army,83
The Cure,Friday I'm in Love,67
Led Zeppelin,Stairway to Heaven - Remaster,79
Natti Natasha,Ram Pam Pam,86
Aerosmith,Dream On,79
The Offspring,"You're Gonna Go Far, Kid",80
Metallica,Enter Sandman,74
R.E.M.,Losing My Religion,82
Blur,Song 2 - 2012 Remaster,77
